Longitude,Latitude,Information
38.9108,75.5277,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
27.6648,81.5158,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
37.8393,84.27,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
43.2994,74.2179,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
40.4173,82.9071,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
33.8361,81.1637,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
34.0489,111.0937,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
36.7783,119.4179,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
38.8026,116.4194,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
34.5199,105.8701,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
43.8041,120.5542,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
47.7511,120.7401,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
32.3182,86.9023,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
51.2538,85.3232,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
41.878,93.0977,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
45.2538,69.4455,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
43.1939,71.5724,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
32.3547,89.3985,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
41.2033,77.1945,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
44.5588,72.5778,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
35.201,91.8318,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
39.5501,105.782,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
40.6331,89.3985,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
40.2672,86.1349,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
39.011,98.4842,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
30.9843,91.9623,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
39.0458,76.6413,"<b>- TransAtlantic East Ambassador: John Smithr</b>, JSmith@gmail.com<br><b>- Jane Doe</b>, JDoe@gmail.com"
